iter	Logloss
0	0.613976449
1	0.5493920622
2	0.4956537624
3	0.4501859871
4	0.4114354128
5	0.3781501998
6	0.3493108443
7	0.3243376861
8	0.302361514
9	0.2831556227
10	0.2661843884
11	0.2512046252
12	0.2380382709
13	0.2263054778
14	0.2160283133
15	0.2067474579
16	0.1985095355
17	0.1911530625
18	0.1846322803
19	0.1787929633
20	0.1736774653
21	0.169096474
22	0.1648827998
23	0.1615097393
24	0.1581933208
25	0.1551611707
26	0.1524342316
27	0.1500955321
28	0.1478684252
29	0.1462404825
30	0.1445949424
31	0.1429733937
32	0.1415072949
33	0.1406922595
34	0.1396312478
35	0.1385165856
36	0.1374895262
37	0.1365684062
38	0.1358013839
39	0.1354509341
40	0.1350624751
41	0.1344623611
42	0.1339267897
43	0.1334797988
44	0.1330107582
45	0.1326218211
46	0.1324389847
47	0.1320607032
48	0.1317432621
49	0.1314286092
