iter	Passed	Remaining
0	112	5490
1	238	5730
2	356	5591
3	475	5471
4	595	5360
5	717	5265
6	838	5152
7	980	5146
8	1100	5012
9	1224	4899
10	1350	4788
11	1474	4670
12	1589	4523
13	1714	4409
14	1835	4282
15	1942	4128
16	2062	4004
17	2184	3882
18	2308	3765
19	2430	3646
20	2558	3533
21	2684	3417
22	2806	3294
23	2922	3166
24	3037	3037
25	3153	2910
26	3267	2783
27	3392	2665
28	3506	2539
29	3620	2413
30	3751	2299
31	3870	2177
32	3984	2052
33	4100	1929
34	4224	1810
35	4336	1686
36	4445	1561
37	4561	1440
38	4685	1321
39	4800	1200
40	4908	1077
41	5021	956
42	5144	837
43	5257	716
44	5374	597
45	5492	477
46	5603	357
47	5722	238
48	5883	120
49	6003	0
