iter	Logloss
0	0.6158865479
1	0.5522484619
2	0.4982569824
3	0.453491748
4	0.4145703125
5	0.3814742493
6	0.3522453979
7	0.3268993408
8	0.3048862
9	0.28529646
10	0.2681206787
11	0.2532563171
12	0.2397528564
13	0.2280139954
14	0.2174669495
15	0.2080337585
16	0.2002321289
17	0.1929531372
18	0.1866899567
19	0.1806787445
20	0.1754716217
21	0.1705715179
22	0.1666536896
23	0.162868573
24	0.1592798309
25	0.1561229065
26	0.1534122009
27	0.1509555298
28	0.1485331512
29	0.1467463684
30	0.1447760834
31	0.1429787384
32	0.1415847229
33	0.1405150635
34	0.1391948853
35	0.1380340698
36	0.1373994202
37	0.1363996613
38	0.1356232819
39	0.1351558838
40	0.1348512573
41	0.1341209442
42	0.1334173492
43	0.1328621582
44	0.1323512115
45	0.1321928589
46	0.131943042
47	0.1314470276
48	0.1309589813
49	0.1305410767
