iter	Passed	Remaining
0	4	241
1	12	304
2	18	288
3	22	259
4	30	271
5	34	252
6	38	236
7	45	239
8	49	227
9	54	216
10	60	216
11	65	208
12	69	198
13	76	196
14	80	188
15	84	180
16	88	171
17	94	168
18	98	161
19	103	154
20	110	152
21	114	145
22	118	139
23	126	137
24	131	131
25	135	125
26	143	122
27	147	116
28	152	110
29	159	106
30	164	100
31	168	94
32	175	90
33	179	84
34	183	78
35	190	74
36	194	68
37	198	62
38	206	58
39	210	52
40	214	47
41	221	42
42	227	37
43	237	32
44	243	27
45	248	21
46	258	16
47	262	10
48	269	5
49	274	0
